Project,Bug,Patch,TSSeed,NumberOfTests,NumberOfFailingTests
Chart,18,chart18_40_1_0.patch,5,21,1
Chart,18,chart18_40_1_0.patch,6,21,1
Chart,18,chart18_40_1_0.patch,7,21,1
Chart,18,chart18_40_1_0.patch,8,22,1
Chart,18,chart18_40_1_0.patch,9,23,1
Chart,18,chart18_40_1_0.patch,10,20,1
Chart,18,chart18_40_2_0.patch,1,22,1
Chart,18,chart18_40_2_0.patch,2,20,1
Chart,18,chart18_40_2_0.patch,3,20,1
Chart,18,chart18_40_2_0.patch,4,22,1
Chart,18,chart18_40_2_0.patch,5,21,1
Chart,18,chart18_40_2_0.patch,6,21,1
Chart,18,chart18_40_2_0.patch,7,21,1
Chart,18,chart18_40_2_0.patch,8,22,1
Chart,18,chart18_40_2_0.patch,9,23,1
Chart,18,chart18_40_2_0.patch,10,20,1
Chart,18,chart18_40_3_0.patch,1,22,1
Chart,18,chart18_40_3_0.patch,2,20,1
Chart,18,chart18_40_3_0.patch,3,20,1
Chart,18,chart18_40_3_0.patch,4,22,1
Chart,18,chart18_40_3_0.patch,5,21,1
Chart,18,chart18_40_3_0.patch,6,21,1
Chart,18,chart18_40_3_0.patch,7,21,1
Chart,18,chart18_40_3_0.patch,8,22,1
Chart,18,chart18_40_3_0.patch,9,23,1
Chart,18,chart18_40_3_0.patch,10,20,1
Chart,18,chart18_40_4_0.patch,1,22,1
Chart,18,chart18_40_4_0.patch,2,20,1
Chart,18,chart18_40_4_0.patch,3,20,1
Chart,18,chart18_40_4_0.patch,4,22,1
Chart,18,chart18_40_4_0.patch,5,21,1
Chart,18,chart18_40_4_0.patch,6,21,1
Chart,18,chart18_40_4_0.patch,7,21,1
Chart,18,chart18_40_4_0.patch,8,22,1
Chart,18,chart18_40_4_0.patch,9,23,1
Chart,18,chart18_40_4_0.patch,10,20,1
Chart,18,chart18_40_5_0.patch,1,22,1
Chart,18,chart18_40_5_0.patch,2,20,1
Chart,18,chart18_40_5_0.patch,3,20,1
Chart,18,chart18_40_5_0.patch,4,22,1
Chart,18,chart18_40_5_0.patch,5,21,1
Chart,18,chart18_40_5_0.patch,6,21,1
Chart,18,chart18_40_5_0.patch,7,21,1
Chart,18,chart18_40_5_0.patch,8,22,1
Chart,18,chart18_40_5_0.patch,9,23,1
Chart,18,chart18_40_5_0.patch,10,20,1
Chart,18,chart18_60_1_0.patch,1,22,1
Chart,18,chart18_60_1_0.patch,2,20,1
Chart,18,chart18_60_1_0.patch,3,20,1
Chart,18,chart18_60_1_0.patch,4,22,1
Chart,18,chart18_60_1_0.patch,5,21,1
Chart,18,chart18_60_1_0.patch,6,21,1
Chart,18,chart18_60_1_0.patch,7,21,1
Chart,18,chart18_60_1_0.patch,8,22,1
Chart,18,chart18_60_1_0.patch,9,23,1
Chart,18,chart18_60_1_0.patch,10,20,1
Chart,18,chart18_60_2_0.patch,1,22,1
Chart,18,chart18_60_2_0.patch,2,20,1
Chart,18,chart18_60_2_0.patch,3,20,1
Chart,18,chart18_60_2_0.patch,4,22,1
Chart,18,chart18_60_2_0.patch,5,21,1
Chart,18,chart18_60_2_0.patch,6,21,1
Chart,18,chart18_60_2_0.patch,7,21,1
Chart,18,chart18_60_2_0.patch,8,22,1
Chart,18,chart18_60_2_0.patch,9,23,1
Chart,18,chart18_60_2_0.patch,10,20,1
Chart,18,chart18_60_3_0.patch,1,22,1
Chart,18,chart18_60_3_0.patch,2,20,1
Chart,18,chart18_60_3_0.patch,3,20,1
Chart,18,chart18_60_3_0.patch,4,22,1
Chart,18,chart18_60_3_0.patch,5,21,1
Chart,18,chart18_60_3_0.patch,6,21,1
Chart,18,chart18_60_3_0.patch,7,21,1
Chart,18,chart18_60_3_0.patch,8,22,1
Chart,18,chart18_60_3_0.patch,9,23,1
Chart,18,chart18_60_3_0.patch,10,20,1
Chart,18,chart18_60_4_0.patch,1,22,1
Chart,18,chart18_60_4_0.patch,2,20,1
Chart,18,chart18_60_4_0.patch,3,20,1
Chart,18,chart18_60_4_0.patch,4,22,1
Chart,18,chart18_60_4_0.patch,5,21,1
Chart,18,chart18_60_4_0.patch,6,21,1
Chart,18,chart18_60_4_0.patch,7,21,1
Chart,18,chart18_60_4_0.patch,8,22,1
Chart,18,chart18_60_4_0.patch,9,23,1
Chart,18,chart18_60_4_0.patch,10,20,1
Chart,18,chart18_60_5_0.patch,1,22,1
Chart,18,chart18_60_5_0.patch,2,20,1
Chart,18,chart18_60_5_0.patch,3,20,1
Chart,18,chart18_60_5_0.patch,4,22,1
Chart,18,chart18_60_5_0.patch,5,21,1
Chart,18,chart18_60_5_0.patch,6,21,1
Chart,18,chart18_60_5_0.patch,7,21,1
Chart,18,chart18_60_5_0.patch,8,22,1
Chart,18,chart18_60_5_0.patch,9,23,1
Chart,18,chart18_60_5_0.patch,10,20,1
Chart,18,chart18_80_1_0.patch,1,22,1
Chart,18,chart18_80_1_0.patch,2,20,1
Chart,18,chart18_80_1_0.patch,3,20,1
Chart,18,chart18_80_1_0.patch,4,22,1
Chart,18,chart18_80_1_0.patch,5,21,1
Chart,18,chart18_80_1_0.patch,6,21,1
Chart,18,chart18_80_1_0.patch,7,21,1
Chart,18,chart18_80_1_0.patch,8,22,1
Chart,18,chart18_80_1_0.patch,9,23,1
Chart,18,chart18_80_1_0.patch,10,20,1
Chart,18,chart18_80_2_0.patch,1,22,1
Chart,18,chart18_80_2_0.patch,2,20,1
Chart,18,chart18_80_2_0.patch,3,20,1
Chart,18,chart18_80_2_0.patch,4,22,1
Chart,18,chart18_80_2_0.patch,5,21,1
Chart,18,chart18_80_2_0.patch,6,21,1
Chart,18,chart18_80_2_0.patch,7,21,1
Chart,18,chart18_80_2_0.patch,8,22,1
Chart,18,chart18_80_2_0.patch,9,23,1
Chart,18,chart18_80_2_0.patch,10,20,1
Chart,18,chart18_80_3_0.patch,1,22,1
Chart,18,chart18_80_3_0.patch,2,20,1
Chart,18,chart18_80_3_0.patch,3,20,1
Chart,18,chart18_80_3_0.patch,4,22,1
Chart,18,chart18_80_3_0.patch,5,21,1
Chart,18,chart18_80_3_0.patch,6,21,1
Chart,18,chart18_80_3_0.patch,7,21,1
Chart,18,chart18_80_3_0.patch,8,22,1
Chart,18,chart18_80_3_0.patch,9,23,1
Chart,18,chart18_80_3_0.patch,10,20,1
