Project,Bug,Patch,TSSeed,NumberOfTests,NumberOfFailingTests
Chart,1,chart1_100_3_seed8_StmtReplace_603_151.patch,10,77,1
Chart,1,chart1_100_4_seed10_StmtDelete_603.patch,1,88,1
Chart,1,chart1_100_4_seed10_StmtDelete_603.patch,2,85,0
Chart,1,chart1_100_4_seed10_StmtDelete_603.patch,3,73,0
Chart,1,chart1_100_4_seed10_StmtDelete_603.patch,4,82,1
Chart,1,chart1_100_4_seed10_StmtDelete_603.patch,5,76,0
Chart,1,chart1_100_4_seed10_StmtDelete_603.patch,6,83,1
Chart,1,chart1_100_4_seed10_StmtDelete_603.patch,7,82,0
Chart,1,chart1_100_4_seed10_StmtDelete_603.patch,8,69,1
Chart,1,chart1_100_4_seed10_StmtDelete_603.patch,9,79,1
Chart,1,chart1_100_4_seed10_StmtDelete_603.patch,10,77,1
Chart,1,chart1_100_4_seed13_StmtReplace_602_0.patch,1,88,1
Chart,1,chart1_100_4_seed13_StmtReplace_602_0.patch,2,85,0
Chart,1,chart1_100_4_seed13_StmtReplace_602_0.patch,3,73,1
Chart,1,chart1_100_4_seed13_StmtReplace_602_0.patch,4,82,1
Chart,1,chart1_100_4_seed13_StmtReplace_602_0.patch,5,76,1
Chart,1,chart1_100_4_seed13_StmtReplace_602_0.patch,6,83,1
Chart,1,chart1_100_4_seed13_StmtReplace_602_0.patch,7,82,1
Chart,1,chart1_100_4_seed13_StmtReplace_602_0.patch,8,69,2
Chart,1,chart1_100_4_seed13_StmtReplace_602_0.patch,9,79,1
Chart,1,chart1_100_4_seed13_StmtReplace_602_0.patch,10,77,1
Chart,1,chart1_100_4_seed1_StmtDelete_601.patch,1,88,1
Chart,1,chart1_100_4_seed1_StmtDelete_601.patch,2,85,0
Chart,1,chart1_100_4_seed1_StmtDelete_601.patch,3,73,0
Chart,1,chart1_100_4_seed1_StmtDelete_601.patch,4,82,1
Chart,1,chart1_100_4_seed1_StmtDelete_601.patch,5,76,0
Chart,1,chart1_100_4_seed1_StmtDelete_601.patch,6,83,1
Chart,1,chart1_100_4_seed1_StmtDelete_601.patch,7,82,0
Chart,1,chart1_100_4_seed1_StmtDelete_601.patch,8,69,1
