Project,Bug,TSSeed,NumberOfTests,NumberOfFailingTests
math,math7,10,16,0
math,math73,1,15,1
math,math73,2,15,1
math,math73,3,14,1
math,math73,4,14,1
math,math73,5,15,1
math,math73,6,13,1
math,math73,7,13,1
math,math73,8,16,1
math,math73,9,15,1
math,math73,10,14,1
math,math75,1,30,0
math,math75,2,29,0
math,math75,3,29,0
math,math75,4,32,0
math,math75,5,31,0
math,math75,6,32,0
math,math75,7,29,0
math,math75,8,31,0
math,math75,9,29,0
math,math75,10,30,0
math,math78,1,14,1
math,math78,2,11,0
math,math78,3,12,0
math,math78,4,12,0
math,math78,5,14,0
math,math78,6,12,1
math,math78,7,12,1
math,math78,8,12,0
math,math78,9,12,1
math,math78,10,12,0
math,math8,1,6,0
math,math8,2,6,0
math,math8,3,6,0
math,math8,4,6,1
math,math8,5,6,1
math,math8,6,6,0
math,math8,7,6,1
math,math8,8,6,0
math,math8,9,7,0
math,math8,10,7,0
math,math80,1,28,0
math,math80,2,27,0
math,math80,3,28,0
math,math80,4,28,0
math,math80,5,25,1
math,math80,6,24,0
math,math80,7,26,2
math,math80,8,24,1
math,math80,9,27,0
math,math80,10,30,0
math,math81,1,28,0
math,math81,2,29,0
math,math81,3,29,0
math,math81,4,29,0
math,math81,5,26,0
math,math81,6,26,0
math,math81,7,28,0
math,math81,8,27,0
math,math81,9,24,0
math,math81,10,28,1
math,math82,1,4,0
math,math82,2,4,0
math,math82,3,4,0
math,math82,4,5,0
math,math82,5,4,0
math,math82,6,4,0
math,math82,7,5,0
math,math82,8,4,0
math,math82,9,4,0
math,math82,10,5,0
math,math84,1,4,0
math,math84,2,4,0
math,math84,3,4,0
math,math84,4,4,0
math,math84,5,4,0
math,math84,6,3,0
math,math84,7,5,0
math,math84,8,4,0
math,math84,9,3,0
math,math84,10,4,0
math,math85,1,9,1
math,math85,2,9,1
math,math85,3,9,1
math,math85,4,9,1
math,math85,5,9,1
math,math85,6,9,1
math,math85,7,9,1
math,math85,8,9,1
math,math85,9,9,1
math,math85,10,9,1
math,math95,1,6,1
math,math95,2,6,0
math,math95,3,5,0
math,math95,4,6,1
math,math95,5,10,0
math,math95,6,10,0
math,math95,7,6,0
math,math95,8,10,0
math,math95,9,6,1
math,math95,10,9,0
time,time19,1,40,0
time,time19,2,37,0
time,time19,3,39,0
time,time19,4,38,0
time,time19,5,38,0
time,time19,6,39,0
time,time19,7,38,0
time,time19,8,40,0
time,time19,9,36,0
time,time19,10,41,0
time,time7,1,41,0
time,time7,2,38,0
time,time7,3,38,0
time,time7,4,41,0
