Project,Bug,Patch,TSSeed,NumberOfTests,NumberOfFailingTests
Chart,25,chart25_Seed9_r_20_91.patch,9,9,0
Chart,25,chart25_Seed9_r_20_91.patch,10,17,1
Chart,26,chart26_Seed12_r_236_69.patch,1,64,0
Chart,26,chart26_Seed12_r_236_69.patch,2,60,0
Chart,26,chart26_Seed12_r_236_69.patch,3,62,2
Chart,26,chart26_Seed12_r_236_69.patch,4,59,0
Chart,26,chart26_Seed12_r_236_69.patch,5,67,1
Chart,26,chart26_Seed12_r_236_69.patch,6,62,2
Chart,26,chart26_Seed12_r_236_69.patch,7,62,0
Chart,26,chart26_Seed12_r_236_69.patch,8,66,1
Chart,26,chart26_Seed12_r_236_69.patch,9,43,0
Chart,26,chart26_Seed12_r_236_69.patch,10,62,2
Chart,26,chart26_Seed14_r_235_16.patch,1,64,0
Chart,26,chart26_Seed14_r_235_16.patch,2,60,1
Chart,26,chart26_Seed14_r_235_16.patch,3,62,2
Chart,26,chart26_Seed14_r_235_16.patch,4,59,2
Chart,26,chart26_Seed14_r_235_16.patch,5,67,1
Chart,26,chart26_Seed14_r_235_16.patch,6,62,3
Chart,26,chart26_Seed14_r_235_16.patch,7,62,0
Chart,26,chart26_Seed14_r_235_16.patch,8,66,1
Chart,26,chart26_Seed14_r_235_16.patch,9,43,0
Chart,26,chart26_Seed14_r_235_16.patch,10,62,2
Chart,26,chart26_Seed16_r_283_10.patch,1,64,0
Chart,26,chart26_Seed16_r_283_10.patch,2,60,0
Chart,26,chart26_Seed16_r_283_10.patch,3,62,2
Chart,26,chart26_Seed16_r_283_10.patch,4,59,0
Chart,26,chart26_Seed16_r_283_10.patch,5,67,1
Chart,26,chart26_Seed16_r_283_10.patch,6,62,0
Chart,26,chart26_Seed16_r_283_10.patch,7,62,0
Chart,26,chart26_Seed16_r_283_10.patch,8,66,0
Chart,26,chart26_Seed16_r_283_10.patch,9,43,0
Chart,26,chart26_Seed16_r_283_10.patch,10,62,0
Chart,26,chart26_Seed17_d_235.patch,1,64,0
Chart,26,chart26_Seed17_d_235.patch,2,60,0
Chart,26,chart26_Seed17_d_235.patch,3,62,2
Chart,26,chart26_Seed17_d_235.patch,4,59,0
Chart,26,chart26_Seed17_d_235.patch,5,67,1
Chart,26,chart26_Seed17_d_235.patch,6,62,2
Chart,26,chart26_Seed17_d_235.patch,7,62,0
Chart,26,chart26_Seed17_d_235.patch,8,66,1
Chart,26,chart26_Seed17_d_235.patch,9,43,0
Chart,26,chart26_Seed17_d_235.patch,10,62,2
Chart,26,chart26_Seed20_d_284.patch,1,64,0
Chart,26,chart26_Seed20_d_284.patch,2,60,0
Chart,26,chart26_Seed20_d_284.patch,3,62,2
Chart,26,chart26_Seed20_d_284.patch,4,59,0
Chart,26,chart26_Seed20_d_284.patch,5,67,1
Chart,26,chart26_Seed20_d_284.patch,6,62,0
Chart,26,chart26_Seed20_d_284.patch,7,62,0
Chart,26,chart26_Seed20_d_284.patch,8,66,0
Chart,26,chart26_Seed20_d_284.patch,9,43,0
Chart,26,chart26_Seed20_d_284.patch,10,62,0
Chart,26,chart26_Seed2_d_235.patch,1,64,0
Chart,26,chart26_Seed2_d_235.patch,2,60,0
